Comment,Designator,Footprint,LCSC,Quantity
100n,C9,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,1
BQ24075RGT,U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,1
green,LED1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2290,1
3k9,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23018,1
4u7,"C3,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733,2
100R,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25076,1
100k,R8,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,1
10k,"R10,R11,R3",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,3
47k,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792,1
1k5,"R4,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867,2
5k1,"R1,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,2
750 mA,F1,Fuse_0603_1608Metric,C2687878,1
SW_ANSWER,SW3,WAGO 2060-452998-404,C2765055,1
TYPE-C-31-M-17,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C283540,1
PWR,SW2,SW_MSK12C02-HB,C431541,1
1u,"C5,C6,C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,4
XC6206P332MR-G,U3,SOT-23-3,C5446,1
SW_BOOT,SW1,TS-1088-AR02016,C720477,1
2N7002,Q1,SOT-23,C8545,1
BLM15PX121SN1D,L1,L_0402_1005Metric,C88970,1
JTAG,"J2,J3",PinHeader_1x04_P2.54mm_Horizontal,C91552,2
